source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,המכון הישראלי לדמוקרטיה,2023-10-08,197,1023.2622706417418,146.18032437739168,ILS,0,6.931727896478961
meta,המכון הישראלי לדמוקרטיה,2023-10-15,198,1354.762691248267,193.537527321181,ILS,1,7.212119446730844
meta,המכון הישראלי לדמוקרטיה,2023-10-22,199,1395.7907563204494,199.3986794743499,ILS,2,7.2419325673088935
meta,המכון למחקרי ביטחון לאומי,2023-09-24,195,1447.1,206.72857142857143,ILS,-2,7.278007631334557
meta,המכון למחקרי ביטחון לאומי,2023-10-01,196,499,71.28571428571429,ILS,-1,6.214608098422191
meta,המכון למחקרי ביטחון לאומי,2023-10-08,197,4366.25,623.75,ILS,0,8.381888799385338
meta,המכון למחקרי ביטחון לאומי,2023-10-15,198,5285.8875,755.1267857142857,ILS,1,8.572984977401152
meta,המכון למחקרי ביטחון לאומי,2023-10-22,199,4527.9875,646.8553571428572,ILS,2,8.418253683561238
meta,הציונות הדתית,2023-09-24,195,2575.1346153846152,367.8763736263736,ILS,-2,7.854045343383951
meta,הציונות הדתית,2023-10-01,196,489.5192307692307,69.93131868131867,ILS,-1,6.195464484698089
meta,הקרן החדשה לישראל,2023-09-24,195,1782.09266140165,254.58466591452145,ILS,-2,7.486104585891158
meta,הקרן החדשה לישראל,2023-10-01,196,2102.386332287726,300.34090461253226,ILS,-1,7.651303864150832
meta,הקרן החדשה לישראל,2023-10-08,197,707.4178061256315,101.05968658937591,ILS,0,6.563034041286785
meta,הקרן החדשה לישראל,2023-10-15,198,5155.712022216914,736.5302888881306,ILS,1,8.5480544503775
meta,הקרן החדשה לישראל,2023-10-22,199,26281.86912899902,3754.552732714146,ILS,2,10.17667264201983
meta,התנועה לאיכות השלטון,2023-09-24,195,749.8636363636364,107.12337662337664,ILS,-2,6.621224059196825
meta,התנועה לאיכות השלטון,2023-10-01,196,1749.6818181818182,249.95454545454547,ILS,-1,7.4677606014287505
meta,התנועה לאיכות השלטון,2023-10-08,197,249.95454545454547,35.70779220779221,ILS,0,5.525271828925729
meta,התנועה לאיכות השלטון,2023-10-15,198,5993.388888888889,856.1984126984127,ILS,1,8.698579125466521
meta,התנועה לאיכות השלטון,2023-10-22,199,20803.61111111111,2971.9444444444443,ILS,2,9.942929929154436
meta,חופשי בארצנו - מטה המאבק,2023-09-24,195,10672.708333333336,1524.6726190476195,ILS,-2,9.275538831556469
meta,חופשי בארצנו - מטה המאבק,2023-10-01,196,18278.808333333334,2611.258333333334,ILS,-1,9.813552359905762
meta,חופשי בארצנו - מטה המאבק,2023-10-08,197,10107.116666666669,1443.8738095238095,ILS,0,9.221094010454404
meta,חופשי בארצנו - מטה המאבק,2023-10-15,198,12156.875,1736.696428571429,ILS,1,9.40573238695955
meta,חופשי בארצנו - מטה המאבק,2023-10-22,199,10489.5,1498.5,ILS,2,9.258225364696756
meta,ישראל ביתנו,2023-09-24,195,842.5,120.35714285714286,ILS,-2,6.737559901986023
meta,ישראל ביתנו,2023-10-01,196,1317.875,188.2678571428571,ILS,-1,7.1845343794622565
meta,ישראל ביתנו,2023-10-08,197,119.625,17.089285714285715,ILS,0,4.79268655965915
meta,ישראל ביתנו,2023-10-15,198,347.5,49.642857142857146,ILS,1,5.853638230200579
meta,לובי 99,2023-09-24,195,3048.383264477785,435.4833234968264,ILS,-2,8.02269464078665
meta,לובי 99,2023-10-01,196,3048.383264477785,435.4833234968264,ILS,-1,8.02269464078665
meta,לובי 99,2023-10-08,197,2215.1610422555627,316.4515774650804,ILS,0,7.703531717724654
meta,לובי 99,2023-10-15,198,2076.2906718851923,296.61295312645603,ILS,1,7.638819762030962
meta,לובי 99,2023-10-22,199,2076.2906718851923,296.61295312645603,ILS,2,7.638819762030962
meta,מחדל23,2023-10-08,197,44447.575,6349.653571428571,ILS,0,10.702088181935478
meta,מחדל23,2023-10-15,198,51484.684803921555,7354.954971988794,ILS,1,10.849059083040007
meta,מחדל23,2023-10-22,199,66083.59176051052,9440.51310864436,ILS,2,11.098690893681876
meta,מפלגת יש עתיד,2023-10-08,197,598,85.42857142857143,ILS,0,6.395261598115449
meta,מפלגת כחול לבן,2023-10-01,196,1048.5,149.78571428571428,ILS,-1,6.956069139260688
meta,מפלגת נעם,2023-09-24,195,414.54179487179493,59.22025641025642,ILS,-2,6.029583198579201
