source,party_name,week_start_sunday,week_index_since_2020,total_spend_week,avg_spend_per_day_week,currency,rel_week,y
meta,עיריית אשקלון,2023-09-24,195,1419.1875000000002,202.74,ILS,-2,7.257839803737496
meta,עיריית אשקלון,2023-10-01,196,1661.9791666666667,237.43,ILS,-1,7.415764440238553
meta,עיריית אשקלון,2023-10-08,197,729.625,104.23,ILS,0,6.5925307035239555
meta,עיריית אשקלון,2023-10-15,198,949.5,135.64,ILS,1,6.85593553025234
meta,עיריית אשקלון,2023-10-22,199,312.375,44.62,ILS,2,5.744204389155117
meta,צו חירום,2023-10-08,197,1099,157,ILS,0,7.002155954403621
meta,צו חירום,2023-10-15,198,249.83333333333337,35.69,ILS,1,5.520794028874543
meta,צו חירום,2023-10-22,199,749.1666666666667,107.02,ILS,2,6.618961477677666
meta,קרן ברל כצנלסון,2023-09-24,195,580.15,82.88,ILS,-2,6.363286690793554
meta,קרן ברל כצנלסון,2023-10-01,196,867.2666666666668,123.9,ILS,-1,6.765346503499349
meta,קרן ברל כצנלסון,2023-10-08,197,41.583333333333336,5.94,ILS,0,3.7276994459635184
meta,קרן ברל כצנלסון,2023-10-15,198,458.625,65.52,ILS,1,6.128232882675446
meta,קרן ברל כצנלסון,2023-10-22,199,334.375,47.77,ILS,2,5.812263117650271
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-09-24,195,2186.875,312.41,ILS,-2,7.690228863121953
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-01,196,3561.625,508.8,ILS,-1,8.177972180373752
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-08,197,7451.541666666667,1064.51,ILS,0,8.91617622508853
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-15,198,9563.333333333334,1366.19,ILS,1,9.165691620307301
meta,רז קינסטליך - ראש עיריית ראשון לציון,2023-10-22,199,416.5,59.5,ILS,2,6.031886461606898
meta,שומרים,2023-09-24,195,2966.2319444444447,423.75,ILS,-2,7.9950477207342106
meta,שומרים,2023-10-01,196,3540.2809523809524,505.75,ILS,-1,8.171961368057945
meta,שומרים,2023-10-08,197,2485.7023809523807,355.1,ILS,0,7.818310546863808
meta,שומרים,2023-10-15,198,1916.9722222222224,273.85,ILS,1,7.558502252707077
meta,שומרים,2023-10-22,199,1885.1130952380952,269.3,ILS,2,7.541743095556125
meta,שי קינן - shai keinan,2023-09-24,195,26253.30265151515,3750.47,ILS,-2,10.175547075401505
meta,שי קינן - shai keinan,2023-10-01,196,67225.36174242425,9603.62,ILS,-1,11.115805862192492
meta,שי קינן - shai keinan,2023-10-08,197,19762.46179653679,2823.21,ILS,0,9.89153954838679
meta,שי קינן - shai keinan,2023-10-15,198,16733.73630952381,2390.53,ILS,1,9.725182098964197
meta,שי קינן - shai keinan,2023-10-22,199,12803.729166666668,1829.1,ILS,2,9.457491748621951
meta,תנועת אם תרצו,2023-09-24,195,2912.202738009377,416.03,ILS,-2,7.9766650284622616
meta,תנועת אם תרצו,2023-10-01,196,3123.732620072896,446.25,ILS,-1,8.04678391833149
meta,תנועת אם תרצו,2023-10-08,197,495.8092027704097,70.83,ILS,0,6.206191180885887
meta,תנועת אם תרצו,2023-10-15,198,694.1328838785735,99.16,ILS,1,6.5426634175071
meta,תנועת אם תרצו,2023-10-22,199,694.1328838785735,99.16,ILS,2,6.5426634175071
